file,date_time,temperature,conductivity,pressure,oxygen,salinity,depth_label,temperature_flag,conductivity_flag,pressure_flag,oxygen_flag,salinity_flag,sound_speed,sound_speed_flag,salinity_calc,salinity_calc_flag,sound_speed_calc,sound_speed_calc_flag
19101023.mcI,2019-10-10T00:00:10Z,-1.0966,2.57867,45.181,7.476,31.8174,40,0,0,0,0,0,1440.467,0,31.817417552570912,0,1440.3222414830154,0
19101023.mcI,2019-10-10T02:00:10Z,-1.1435,2.57948,45.847,7.489,31.8778,40,0,0,0,0,0,1440.336,0,31.87785477946764,0,1440.1909196156332,0
19101023.mcI,2019-10-10T04:00:10Z,-1.2184,2.58258,46.45,7.225,31.9996,40,0,0,0,0,0,1440.154,0,31.999567486295454,0,1440.00749854705,0
19101023.mcI,2019-10-10T06:00:10Z,-1.1613,2.58479,46.061,7.418,31.9688,40,0,0,0,0,0,1440.378,0,31.96886057102976,0,1440.2323907275568,0
19101023.mcI,2019-10-10T08:00:10Z,-1.1089,2.59088,45.16,7.421,31.9962,40,0,0,0,0,0,1440.65,0,31.996203644134656,0,1440.5047154991648,0
19101023.mcI,2019-10-10T10:00:10Z,-1.0944,2.58392,44.732,7.565,31.8866,40,0,0,0,0,0,1440.564,0,31.886555764798757,0,1440.4188491430427,0
19101023.mcI,2019-10-10T12:00:10Z,-1.167,2.58436,44.86,7.478,31.9699,40,0,0,0,0,0,1440.333,0,31.969814195580472,0,1440.1871281036733,0
19101023.mcI,2019-10-10T14:00:10Z,-1.199,2.58394,45.313,7.24,31.9981,40,0,0,0,0,0,1440.226,0,31.99801852778656,0,1440.0797651930206,0
19101023.mcI,2019-10-10T16:00:10Z,-1.1179,2.5754,45.612,7.506,31.7954,40,0,0,0,0,0,1440.343,0,31.795402035020157,0,1440.1978894455467,0
19101023.mcI,2019-10-10T18:00:10Z,-1.0843,2.57326,45.389,7.498,31.7309,40,0,0,0,0,0,1440.412,0,31.730915254703728,0,1440.2674392416664,0
19101023.mcI,2019-10-10T20:00:10Z,-1.0597,2.57102,44.883,7.546,31.6749,40,0,0,0,0,0,1440.445,0,31.67486981453614,0,1440.3008795880726,0
19101023.mcI,2019-10-10T22:00:10Z,-1.1176,2.57713,44.648,7.515,31.8191,40,0,0,0,0,0,1440.361,0,31.81913080198638,0,1440.2158363856897,0
19101123.mcI,2019-10-11T00:00:10Z,-1.0385,2.56923,44.961,7.63,31.6282,40,0,0,0,0,0,1440.484,0,31.628235805536143,0,1440.3402057909684,0
19101123.mcI,2019-10-11T02:00:10Z,-1.1301,2.58448,45.605,7.527,31.9316,40,0,0,0,0,0,1440.469,0,31.931642995238683,0,1440.3236068210883,0
19101123.mcI,2019-10-11T04:00:10Z,-1.1436,2.58009,46.128,7.302,31.8862,40,0,0,0,0,0,1440.351,0,31.88608065104821,0,1440.2060823603465,0
19101123.mcI,2019-10-11T06:00:10Z,-1.1233,2.58212,46.1,7.539,31.892,40,0,0,0,0,0,1440.456,0,31.892060965015375,0,1440.3105447781356,0
19101123.mcI,2019-10-11T08:00:10Z,-1.288,2.57572,45.261,7.263,31.9812,40,0,0,0,0,0,1439.778,0,31.981219341895155,0,1439.630676058946,0
19101123.mcI,2019-10-11T10:00:10Z,-1.2466,2.57586,44.661,7.388,31.9393,40,0,0,0,0,0,1439.909,0,31.939221705953976,0,1439.7622683831928,0
19101123.mcI,2019-10-11T12:00:10Z,-1.2234,2.57763,44.66,7.294,31.9386,40,0,0,0,0,0,1440.019,0,31.93856143468048,0,1439.8722780557514,0
19101123.mcI,2019-10-11T14:00:10Z,-1.1887,2.58855,45.16,7.288,32.0499,40,0,0,0,0,0,1440.343,0,32.04984015387151,0,1440.1965400872846,0
19101123.mcI,2019-10-11T16:00:10Z,-1.2235,2.57106,45.668,7.301,31.8486,40,0,0,0,0,0,1439.913,0,31.84860615080459,0,1439.76640909083,0
19101123.mcI,2019-10-11T18:00:10Z,-1.2941,2.57972,45.587,7.232,32.0422,40,0,0,0,0,0,1439.837,0,32.04215934338359,0,1439.6891948338678,0
19101123.mcI,2019-10-11T20:00:10Z,-1.2388,2.56925,44.995,7.374,31.8406,40,0,0,0,0,0,1439.818,0,31.840648742556372,0,1439.6716458031506,0
19101123.mcI,2019-10-11T22:00:10Z,-1.201,2.57878,44.514,7.381,31.9303,40,0,0,0,0,0,1440.112,0,31.930397436847944,0,1439.9659258961735,0
19101223.mcI,2019-10-12T00:00:10Z,-1.1407,2.58426,44.658,7.393,31.9405,40,0,0,0,0,0,1440.415,0,31.940516080362368,0,1440.269778253013,0
19101223.mcI,2019-10-12T02:00:10Z,-1.1935,2.57977,45.337,7.371,31.9355,40,0,0,0,0,0,1440.168,0,31.93537725036117,0,1440.0217412979543,0
19101223.mcI,2019-10-12T04:00:10Z,-1.2656,2.58265,46.085,7.203,32.0513,40,0,0,0,0,0,1439.993,0,32.05128598383782,0,1439.8459262543831,0
19101223.mcI,2019-10-12T06:00:10Z,-1.1509,2.58745,46.286,7.376,31.9938,40,0,0,0,0,0,1440.465,0,31.993782717933126,0,1440.319315690681,0
19101223.mcI,2019-10-12T08:00:10Z,-1.2083,2.59312,45.592,7.194,32.1329,40,0,0,0,0,0,1440.369,0,32.13282940477395,0,1440.2221173762907,0
19101223.mcI,2019-10-12T10:00:10Z,-1.1194,2.58272,44.661,7.402,31.8969,40,0,0,0,0,0,1440.458,0,31.896910422107485,0,1440.3125104576773,0
19101223.mcI,2019-10-12T12:00:10Z,-1.0976,2.58897,44.475,7.455,31.9586,40,0,0,0,0,0,1440.642,0,31.958632320426148,0,1440.496789052938,0
19101223.mcI,2019-10-12T14:00:10Z,-1.1536,2.58965,45.006,7.41,32.0274,40,0,0,0,0,0,1440.477,0,32.027339106430375,0,1440.3311577689472,0
19101223.mcI,2019-10-12T16:00:10Z,-1.1847,2.59458,45.685,7.221,32.1274,40,0,0,0,0,0,1440.475,0,32.12732135967845,0,1440.3288341570208,0
19101223.mcI,2019-10-12T18:00:10Z,-1.1997,2.59605,45.858,7.135,32.1634,40,0,0,0,0,0,1440.455,0,32.16334499630837,0,1440.3087260021646,0
19101223.mcI,2019-10-12T20:00:10Z,-1.16,2.59117,45.275,7.304,32.0547,40,0,0,0,0,0,1440.488,0,32.05469440974347,0,1440.3419258233812,0
19101223.mcI,2019-10-12T22:00:10Z,-1.1187,2.59044,44.572,7.375,32.001,40,0,0,0,0,0,1440.6,0,32.00104120253203,0,1440.455065766387,0
19101323.mcI,2019-10-13T00:00:10Z,-1.0999,2.58461,44.475,7.411,31.902,40,0,0,0,0,0,1440.554,0,31.901920004778844,0,1440.409242827768,0
19101323.mcI,2019-10-13T02:00:10Z,-1.1746,2.59038,45.102,7.22,32.0598,40,0,0,0,0,0,1440.422,0,32.05968124008833,0,1440.2762122413164,0
