"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 00:00","2019","08","01","00:00","5.5","","3.6","","88","","","M","9","","39","","","M","99.90","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 01:00","2019","08","01","01:00","5.6","","4.0","","90","","","M","11","","42","","","M","99.86","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 02:00","2019","08","01","02:00","4.5","","3.4","","93","","","M","13","","39","","","M","99.86","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 03:00","2019","08","01","03:00","2.6","","2.1","","96","","","M","14","","27","","","M","99.90","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 04:00","2019","08","01","04:00","1.2","","0.8","","97","","","M","14","","25","","","M","99.98","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 05:00","2019","08","01","05:00","0.8","","0.4","","97","","","M","16","","17","","","M","100.08","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 06:00","2019","08","01","06:00","1.6","","1.3","","98","","","M","24","","22","","","M","100.19","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 07:00","2019","08","01","07:00","1.2","","0.9","","98","","","M","24","","24","","","M","100.29","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 08:00","2019","08","01","08:00","","M","","M","","M","","M","","M","","M","","M","","M","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 09:00","2019","08","01","09:00","","M","","M","","M","","M","","M","","M","","M","","M","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 10:00","2019","08","01","10:00","","M","","M","","M","","M","","M","","M","","M","","M","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 11:00","2019","08","01","11:00","","M","","M","","M","","M","","M","","M","","M","","M","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 12:00","2019","08","01","12:00","2.1","","1.6","","97","","","M","19","","14","","","M","100.67","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 13:00","2019","08","01","13:00","2.3","","1.9","","97","","","M","16","","14","","","M","100.72","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 14:00","2019","08","01","14:00","2.4","","2.0","","97","","","M","17","","17","","","M","100.77","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 15:00","2019","08","01","15:00","2.8","","2.1","","95","","","M","14","","16","","","M","100.81","","","","","","NA"
"-94.97","74.72","RESOLUTE BAY A","2403497","2019-08-01 16:00","2019","08","01","16:00","3.6","","2.2","","90","","","M","16","","18","","","M","100.84","","","","","","NA"
